The values are in Mx
3.1825090144480054e+21
4.5408840054525683e+21
7.047876951955686e+21
3.1167751680124167e+21
3.944676868621214e+21
3.613325719036604e+21
1.698270658328154e+21
2.353426104478001e+21
1.5578838990094674e+22
4.0355277231208404e+21
1.0533236897589989e+22	2015/12/18	N15E05(-82",275")
7.139427762568331e+21	2016/01/29	N09E01(-16",250")
3.80000946860559e+21	2016/03/21	N15E09(-146",360")
1.7787287419893488e+22	2016/04/13	N09W00(0",243")
1.446393496353055e+22	2016/05/20	S07W07(115",-84")
8.17139848633469e+21	2016/06/16	S07W08(130",-136")
6.28877655251349e+21	2016/07/17	N04E01(-16",-10")
8.123809090486596e+21	2016/07/17	N04W08(131",-9")
5.471777644240932e+21	2016/09/05	N08E02(-33",12")
5.191696943126799e+21	2016/11/29	N08W09(151",119")
4.4295949939123484e+21	2017/01/29	N12E09(-149",291")
1.922986381600469e+21	2017/01/29	N06W11(185",191")
4.0965345932081517e+21	2017/04/01	S10W11(181",-60")
1.1188331652357997e+22	2017/07/11	S06W03(49",-164")
4.5339623806113997e+21	2017/08/07	S05W10(164",-183")
3.8213117425894854e+21	2017/08/20	N12W06(97",85")
9.499751562906593e+21	2017/09/05	N14W13(208",115")
4.194598097082614e+21	2018/02/10	S07E01(-16",-6")
2.908323531941982e+21	2018/04/24	N02E07(-116",112")
2.543149235671826e+21	2019/04/13	N15E09(-143",261")
9.666016271883506e+21	2019/04/13	N06W06(99",194")
5.784083998619718e+21	2019/05/11	N06E12(-197",149")
3.316317335964035e+21	2020/11/08	S23E04(-62",-434")
1.2349019305637925e+22	2020/11/29	S18E03(-48",-317")
